Customer ID,Full Name,Date of Birth,Gender,Annual Income,Previous Investment Experience,Amount to Invest,Expected Rate of Return,Term of Investment,Retirement Goals,Employment Type,Investor Type,Investor Type Encoded,Cluster,Cluster Label
a25cbb59-a1d6-48a4-88d7-ba256994d2b6,Jessica Garrett,1959-07-28,Female,154874,Yes,108032,5-10%,Medium Term,Saving for children's education,Employed,Moderate,1,0,M
06948085-536d-4017-b2c3-3bb832712ffe,Paul Brown,1992-01-10,Female,284123,Yes,492021,>10%,Long Term,Saving for vacation,Employed,Aggressive,2,1,H
42e33806-ed97-4f59-a027-62981b5c5f85,Brittany Martin,1961-08-19,Other,583940,No,444974,5-10%,Long Term,Investing in a business venture,Employed,Moderate,1,0,M
aeb7a294-1405-4097-bff6-462ac465812b,John Martin,1974-01-06,Female,768825,Yes,498445,5-10%,Medium Term,Paying off college debt,Unemployed,Aggressive,2,1,H
c547ef84-4bb6-44bd-a853-e8c5a7c2be8d,John Nelson,1992-06-12,Male,977469,No,335530,5-10%,Short Term,Buying a house,Employed,Aggressive,2,1,H
4608d7e5-d1f3-4d75-ab82-2fd7d342aa63,Scott Sanders,1970-07-17,Female,449074,Yes,36616,<5%,Long Term,Saving for vacation,Retired,Moderate,1,0,M
349c3cd8-4b63-4f06-8ecf-7f0fc4d94730,Carl Page,2000-09-23,Other,252700,No,203624,>10%,Short Term,Buying a house,Unemployed,Aggressive,2,1,H
7afac4d3-08df-45ec-a2ca-923b3cdd39aa,Deborah Smith,1989-12-03,Male,1758201,No,406438,<5%,Short Term,Buying a house,Retired,Aggressive,2,1,H
f38fd9ca-9a98-45aa-bca3-b0ba7eb87096,Miguel Reid,1989-07-02,Female,374154,Yes,234252,>10%,Short Term,Saving for vacation,Self-Employed,Aggressive,2,1,H
09726183-37d2-44c8-997c-b6d4321495c0,Chad Jackson,1963-11-21,Female,1011666,No,86274,<5%,Medium Term,Buying a house,Retired,Conservative,0,2,L
f7d304a0-8368-475d-838c-4189dad4776e,Kimberly Chavez,1964-10-31,Female,635469,No,438835,5-10%,Long Term,Saving for vacation,Employed,Moderate,1,0,M
a72fd9a9-61d7-4f3c-aa81-c1d90ada762a,James Martinez,1992-06-17,Female,962996,Yes,304620,5-10%,Short Term,Building an emergency fund,Self-Employed,Aggressive,2,1,H
